"11472.25","11472.25","1","GB88KFKW56092188781382","3","1","2753.34","ANVM29887051112415","6","5","true","2","accounts/SNOWBANK_PUBLIC_ACCOUNTS_2.json","1"
"115.05","115.05","1","GB41MGHT22807244144885","1","1","0","YIXC09270801169295","2","1","false","1","accounts/SNOWBANK_PUBLIC_ACCOUNTS_2.json","2"
"142.34","142.34","1","GB23PUKR46296551826863","1","1","0","YTQE99248908645512","2","1","false","1","accounts/SNOWBANK_PUBLIC_ACCOUNTS_2.json","3"
"17037.35","17037.35","1","GB30VSRI18213807472399","3","1","6133.45","LUQW93426160090971","9","4","true","9","accounts/SNOWBANK_PUBLIC_ACCOUNTS_2.json","4"
"130.23","130.23","1","GB40BLKG48008921924695","2","1","30.23","PIYI11310459462082","2","1","false","1","accounts/SNOWBANK_PUBLIC_ACCOUNTS_2.json","5"
"111.59","111.59","1","GB83YHEU12142317789892","1","1","0","WRFH63999266116333","1","3","true","5","accounts/SNOWBANK_PUBLIC_ACCOUNTS_2.json","6"
"127.04","127.04","1","GB12MTPN35933036271242","1","1","0","HHQZ40987680698600","2","1","false","1","accounts/SNOWBANK_PUBLIC_ACCOUNTS_2.json","7"
"3520.9","3520.9","1","GB60TDPF07249794851115","1","1","0","TXAG16305639270497","2","2","false","1","accounts/SNOWBANK_PUBLIC_ACCOUNTS_2.json","8"
"15868.8","15868.8","1","GB36DOPC39764764694982","1","1","0","WZLV77602435053809","10","5","true","11","accounts/SNOWBANK_PUBLIC_ACCOUNTS_2.json","9"
"141.98","141.98","1","GB43EFPI38215338157937","1","1","0","YLXF21889350722433","2","2","false","1","accounts/SNOWBANK_PUBLIC_ACCOUNTS_2.json","10"
"114.73","114.73","1","GB31CVJH47257825052742","1","1","0","WHJY00949992841137","8","5","true","3","accounts/SNOWBANK_PUBLIC_ACCOUNTS_2.json","11"
"137.9","137.9","1","GB73RBYL72591340289086","1","1","0","JGZH60541817678916","2","1","false","1","accounts/SNOWBANK_PUBLIC_ACCOUNTS_2.json","12"
"124.91","124.91","1","GB36BSIB77067126823814","1","1","0","QHIO99220125149225","2","2","false","1","accounts/SNOWBANK_PUBLIC_ACCOUNTS_2.json","13"
"111.2","111.2","1","GB15KYPK43318471445392","1","1","0","EWTW00994241104603","2","2","false","1","accounts/SNOWBANK_PUBLIC_ACCOUNTS_2.json","14"
